participant_id,word,order,cluster_id,category
28E,policeofficer,3,3,Unknown
28E,teacher,4,4,child care
28E,plumber,5,5,house
28E,engineer,6,6,Unknown
28E,you-tuber,7,7,Unknown
28E,doctor,8,8,hospital/care
28E,dentist,9,8,hospital/care
28E,medic,10,9,Unknown
29E,nurse,1,1,hospital/care
29E,doctor,2,1,hospital/care
29E,postman,3,2,Unknown
29E,firefighter,4,3,Unknown
29E,policeofficer,5,4,Unknown
2E,motorbikemechanic,1,1,Unknown
2E,scientist,2,2,science and research
2E,zookeeper,3,3,Unknown
2E,cameraman,4,4,film/entertainment
2E,director,5,4,film/entertainment
2E,footballer,6,5,sports
2E,goalie,7,5,sports
2E,manager,8,5,managerial
2E,headteacher,9,6,school
3E,midwife,1,1,hospital/care
3E,policeofficer,2,2,Unknown
3E,ambulancedriver,3,3,Unknown
3E,firefighter,4,4,Unknown
3E,teacher,5,5,child care
3E,teachingassistant,6,6,Unknown
3E,nurse,7,7,hospital/care
3E,babysitter,8,8,house
3E,mechanic,9,9,technical
4E,babysitter,1,1,house
4E,mechanic,2,2,technical
4E,teacher,3,3,child care
4E,veterinarian,4,4,Unknown
4E,firefighter,5,5,Unknown
4E,policeofficer,6,6,Unknown
4E,ambulancedriver,7,7,Unknown
4E,nurse,8,8,hospital/care
4E,doctor,9,8,hospital/care
4E,builder,10,9,manual labour
5E,cleaner,1,1,Unknown
5E,footballer,2,2,sports
5E,babysitter,3,3,house
5E,mechanic,4,4,technical
5E,builder,5,5,manual labour
5E,rugbyplayer,6,6,Unknown
5E,farmer,7,7,manual labour
5E,designer,8,8,creative
6E,mechanic,1,1,technical
6E,doctor,2,2,hospital/care
6E,babysitter,3,3,house
7E,mechanic,1,1,technical
8E,teacher,1,1,child care
8E,electrician,2,2,house
8E,babysitter,3,2,house
8E,receptionist,4,3,Unknown
8E,doctor,5,4,hospital/care
8E,firefighter,6,5,Unknown
8E,policeofficer,7,6,Unknown
8E,archaeologist,8,7,Unknown
8E,scientist,9,8,science and research
8E,officeworker,10,9,Unknown
8E,builder,11,10,manual labour
8E,dustbinman,12,11,Unknown
9E,doctor,1,1,hospital/care
9E,blacksmith,2,2,Unknown
9E,chemist,3,3,Unknown
9E,nurse,4,4,hospital/care
9E,policeofficer,5,5,Unknown
9E,designer,6,6,creative
9E,animator,7,7,Unknown
9E,musician,8,8,Unknown
9E,artist,9,9,creative
9E,singer,10,9,performance
9E,grocer,11,10,Unknown
